Time,Uninsulated,Insulated
0,50,50
60,50,49.44444444
120,48.88888889,49.44444444
180,48.33333333,48.88888889
240,47.77777778,48.88888889
300,47.22222222,48.33333333
360,47.22222222,48.33333333
420,46.66666667,47.77777778
480,46.11111111,47.77777778
540,45.55555556,47.22222222
600,45,47.22222222
660,44.44444444,46.66666667
720,44.44444444,46.66666667
780,43.88888889,46.11111111
840,43.33333333,46.11111111
900,42.77777778,46.11111111
960,42.22222222,45.55555556
1020,42.22222222,45.55555556
1080,41.66666667,45
1140,41.11111111,45
1200,41.11111111,45
1260,40.55555556,44.44444444
1320,40,44.44444444
1380,40,44.44444444
1440,39.44444444,43.88888889
1500,39.44444444,43.88888889
1560,38.88888889,43.88888889
1620,38.33333333,43.33333333
1680,38.33333333,43.33333333
1740,37.77777778,43.33333333
1800,37.77777778,42.77777778
1860,37.22222222,42.77777778
1920,37.22222222,42.77777778
1980,36.66666667,42.22222222
2040,36.66666667,42.22222222
2100,36.11111111,42.22222222
2160,,41.66666667
2220,,41.66666667
2280,,41.66666667
2340,,41.11111111
2400,,41.11111111
2460,,41.11111111
2520,,40.55555556
2580,,40.55555556
2640,,40.55555556
2700,,40
2760,,40
2820,,40
2880,,39.44444444
2940,,39.44444444
3000,,39.44444444
3060,,39.44444444
3120,,38.88888889
3180,,38.88888889
3240,,38.88888889
3300,,38.33333333
3360,,38.33333333
3420,,38.33333333
3480,,37.77777778
3540,,37.77777778
3600,,37.77777778
3660,,37.77777778
3720,,37.22222222